Price,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Price_per_sqm,Coordenadas,Tipo_Escola_Mais_Proxima,Distancia_Escola_Mais_Proxima
928000,97,3,2,1,1,1,0,0,0,Vila Madalena,sale,9567.01030927835,"(-23.545566, -46.693608)",Pública,0.3958804186578297
697400,67,3,2,1,1,1,0,1,0,Vila Madalena,sale,10408.955223880597,"(-23.544082, -46.690373)",Privada,0.40248644663058586
750000,75,2,2,1,1,0,0,0,0,Vila Madalena,sale,10000.0,"(-23.552039, -46.698436)",Privada,0.21074052089725626
2680001,168,2,3,2,3,1,0,1,0,Vila Madalena,sale,15952.386904761905,"(-23.554117, -46.686749)",Pública,0.503419330831405
820000,93,2,2,1,1,1,0,0,0,Vila Madalena,sale,8817.20430107527,"(-23.54652, -46.694236)",Pública,0.41134427088526615
820000,90,2,2,1,1,0,1,0,0,Vila Madalena,sale,9111.111111111111,"(-23.546733, -46.694201)",Pública,0.38735138886700604
1100000,93,2,1,2,1,1,0,1,0,Vila Madalena,sale,11827.956989247312,"(-23.546658, -46.692002)",Privada,0.2886396228250737
980000,67,2,2,1,1,1,0,1,0,Vila Madalena,sale,14626.865671641792,"(-23.544408, -46.691265)",Privada,0.4024166727807019
4125000,275,4,5,4,4,1,0,1,0,Vila Madalena,sale,15000.0,"(-23.549316, -46.692097)",Privada,0.1929876923415804
1150000,105,2,3,2,2,0,0,0,0,Vila Madalena,sale,10952.380952380952,"(-23.557858, -46.687365)",Privada,0.6175743254241077
836893,68,2,2,1,1,1,0,1,0,Vila Madalena,sale,12307.25,"(-23.549871, -46.693105)",Pública,0.08851256138591049
1500000,126,3,3,1,2,0,0,0,0,Vila Madalena,sale,11904.761904761905,"(-23.551684, -46.687401)",Privada,0.426371135105751
1250700,128,3,4,1,2,1,0,1,0,Vila Madalena,sale,9771.09375,"(-23.545901, -46.707682)",Pública,0.4960825141647476
530000,70,2,2,1,1,0,0,0,0,Vila Madalena,sale,7571.428571428572,"(-23.544128, -46.694184)",Pública,0.2252957569375605
1400000,95,3,3,1,2,1,0,1,0,Vila Madalena,sale,14736.842105263158,"(-23.555403, -46.681228)",Privada,0.20450695940116162
522900,83,3,2,1,2,1,0,1,0,Mooca,sale,6300.0,"(-23.560846, -46.604266)",Pública,0.2840101337217801
420000,71,3,2,1,2,1,0,1,0,Mooca,sale,5915.492957746479,"(-23.563045, -46.594365)",Privada,0.34196402378023294
369000,63,2,2,1,1,1,0,1,0,Mooca,sale,5857.142857142857,"(-23.552691, -46.623627)",Privada,0.5261823568259693
686700,109,4,4,3,2,1,0,1,0,Mooca,sale,6300.0,"(-23.560846, -46.604266)",Pública,0.2840101337217801
360000,50,2,2,1,1,0,0,1,0,Mooca,sale,7200.0,"(-23.5481, -46.609283)",Privada,0.39445933736490374
